Name,Age,Type,rating
Mahmudullah ,34,Right Hand Batting,68
Shaheen Afridi ,19,Left Arm Fast,73
Ashton Agar ,26,Right Arm off spin,66
Mayank Aggarwal,28,Right Hand Batting,65
Shakib Al Hasan,32,All rounder,77
Hasan Ali ,25,Right arm fast medium,72
Moeen Ali ,32,All rounder,68
Mohammad Amir ,27,Left Arm Fast,83
Hashim Amla ,36,Right Hand Batting,72
Cory Anderson ,29,All rounder,69
Jofra Archer,24,Right arm fast,83
Ravichandran Ashwin,33,Right Arm off spin,76
Babar Azam ,25,Right Hand Batting,81
Samuel Badree,38,Right arm leg spin,73
Jonny Bairstow,30,Right Hand Batting,80
Jason Behrendroff,29,Left Arm Fast medium,69
Sam Billings,28,Right Hand Batting,67
Trent Boult,30,left arm fast,83
Carlos Braithwate,31,all rounder,67
Dwayne Bravo,36,All rounder,72
Jasprit Bumrah,26,right arm fast medium,83
Jos Butler,29,Right Hand Batting,81
Alex Carey,28,left hand batting,74
Yzuvendra Chahal,29,Right arm leg spin,78
Deepak Chahar,27,Right arm fast medium,67
Sheldon Cottrell,30,lest arm fast medium,72
Pat Cummins,26,right arm fast,81
Sam Curran,21,All rounder,62
Liton Das,25,Right Hand Batting,70
Quinton De kock,27,left hand batting,79
Shikhar Dhawan,34,left hand batting,77
